"id";"mark";"year";"period_of_production";"model";"version";"energy";"url_photo";"category";"color";"color_name";"maker";"material_number";"date_of_purchase";"price";"currency";"dealer";"scale";"comment"
171;"BMW";2003;"2003-2010";"X3 3.0i (E83)";"1";"Thermique";"bmw_x3.jpg";"SUV M";"Blue";"Mysticblau";"Kyosho";"80 42 0 300 729";"2005-03-15";25.0;"EUR";"Boutique BMW aÃ©roport de Munich";"43";""
172;"Peugeot";2005;"2005-2010";"407 CoupÃ© salon de GenÃ¨ve 2005";"1";"Thermique";"peugeot_407_coupe_ge.jpg";"D";"Red";"Rouge Lucifer";"Norev";"474775";"2005-05-28";40.0;"EUR";"Jet ModÃ©lisme (Lyon)";"43";""
173;"CitroÃ«n";2003;"2003-2009";"C3 XTR";"1";"Thermique";"citroen_c3_xtr.jpg";"B";"Grey";"Gris Aluminium";"Norev";"155330";"2005-05-28";33.0;"EUR";"Jet ModÃ©lisme (Lyon)";"43";""
174;"CitroÃ«n";2004;"2000-2008";"C5";"1.2";"Thermique";"citroen_c5_2004.jpg";"D";"Blue";"Bleu Mauricius";"Norev";"155520";"2005-05-28";33.0;"EUR";"Jet ModÃ©lisme (Lyon)";"43";""
175;"Renault";1976;"1976-1983";"R14";"1";"Thermique";"renault_14.jpg";"C";"Green";"Vert mÃ©talisÃ©";"?";"?";"2005-07-19";9.0;"EUR";"Magazine";"43";""
176;"Renault";0;"2002-2009";"MÃ©gane II Berline Luxe PrivilÃ¨ge 2,0 16V";"2";"Thermique";"renault_megane2_berline.jpg";"C";"Blue";"Bleu Ottoman (TEI45)";"Eligor";"77 11 221 710";"2005-07-19";23.0;"EUR";"Renault Ambroise ParÃ©";"43";""
177;"Renault";1995;"1995-2002";"MÃ©gane I Classique 1,6 16V RXT";"1";"Thermique";"renault_megane_classic.jpg";"C";"Brown";"Marron mÃ©talisÃ©";"?";"77 11 216 696";"2005-07-29";23.0;"EUR";"Renault Ambroise ParÃ©";"43";""
178;"Renault";2005;"2005-2012";"Clio III";"3";"Thermique";"renault_clio_3_3p.jpg";"B";"Red";"Rouge Volcan";"Eligor";"77 11 237 453";"2005-10-12";23.0;"EUR";"Garage Renault Ambroise ParÃ©";"43";""
179;"BMW";2004;"2004-2013";"3 (E90)";"5";"Thermique";"bmw_3_e90.jpg";"D";"Blue";"Monaco Blau metallic";"Minichamps";"80.42.0.392.151";"2005-10-14";28.0;"EUR";"Boutique BMW 6e Avenue du salon de l'auto de Lyon";"43";""
180;"BMW";2004;"2004-2013";"3 Touring (E91)";"5";"Thermique";"bmw_3_touring_e91.jpg";"D";"Black";"Saphirscharwz metallic";"Minichamps";"80.42.0.394.356";"2005-10-14";28.0;"EUR";"Boutique BMW 6e Avenue du salon de l'auto de Lyon";"43";""
181;"MINI";2001;"2001-2006";"Couper toit Union-Jack";"1";"Thermique";"mini_cooper_uj.jpg";"B";"Black";"Black-Eye Purple metallic";"Minichamps";"80.42.0.309.021";"2005-10-14";33.0;"EUR";"Boutique BMW 6e Avenue du salon de l'auto de Lyon";"43";""
